warehouse_id,article_id,date_time,quantity
Lager 2,Artikel 3,2019-10-28,6
Lager 2,Artikel 3,2018-07-24,10
Lager 2,Artikel 3,2019-07-04,5
Lager 2,Artikel 3,2019-07-01,30
Lager 2,Artikel 3,2019-07-03,10
Lager 2,Artikel 3,2018-06-15,4
Lager 2,Artikel 3,2019-10-30,4
Lager 2,Artikel 3,2018-07-19,8
Lager 2,Artikel 3,2019-10-29,30
Lager 2,Artikel 3,2019-07-03,2
Lager 2,Artikel 3,2019-07-02,10
Lager 2,Artikel 3,2019-05-29,20
Lager 2,Artikel 3,2019-06-24,10
Lager 2,Artikel 3,2018-06-11,1
Lager 2,Artikel 3,2019-07-03,30
Lager 2,Artikel 3,2018-06-14,6
Lager 2,Artikel 3,2019-07-01,90
Lager 2,Artikel 3,2018-07-06,7
Lager 2,Artikel 3,2019-07-04,10
Lager 2,Artikel 3,2019-07-02,3
Lager 2,Artikel 3,2019-07-08,20
Lager 2,Artikel 3,2018-07-11,3
Lager 2,Artikel 3,2018-07-10,5
Lager 2,Artikel 3,2019-07-04,5
Lager 2,Artikel 3,2019-07-05,10
Lager 2,Artikel 3,2019-02-26,2
Lager 2,Artikel 3,2019-02-28,5
Lager 2,Artikel 3,2018-07-16,3
Lager 2,Artikel 3,2019-07-11,10
Lager 2,Artikel 3,2018-07-17,20
Lager 2,Artikel 3,2019-10-31,20
Lager 2,Artikel 3,2019-10-28,20
Lager 2,Artikel 3,2019-07-04,2
Lager 2,Artikel 3,2019-06-03,30
Lager 2,Artikel 3,2019-06-05,2
Lager 2,Artikel 3,2019-06-03,10
Lager 2,Artikel 3,2019-06-03,10
Lager 2,Artikel 3,2019-06-04,2
Lager 2,Artikel 3,2018-07-30,10
Lager 2,Artikel 3,2018-07-18,20
Lager 2,Artikel 3,2019-06-04,5
Lager 2,Artikel 3,2019-06-07,6
Lager 2,Artikel 3,2019-05-29,10
Lager 2,Artikel 3,2018-07-26,10
Lager 2,Artikel 3,2018-07-31,20
Lager 2,Artikel 3,2018-06-07,3
Lager 2,Artikel 3,2018-07-16,10
Lager 2,Artikel 3,2018-06-07,20
Lager 2,Artikel 3,2018-07-31,10
Lager 2,Artikel 3,2019-07-03,6
Lager 2,Artikel 3,2019-07-04,5
Lager 2,Artikel 3,2019-07-11,20
Lager 2,Artikel 3,2019-07-09,5
Lager 2,Artikel 3,2019-07-08,20
Lager 2,Artikel 3,2019-07-10,5
Lager 2,Artikel 3,2019-02-25,3
Lager 2,Artikel 3,2019-02-25,2
Lager 2,Artikel 3,2019-07-10,10
Lager 2,Artikel 3,2019-07-12,3
Lager 2,Artikel 3,2019-07-12,5
Lager 2,Artikel 3,2019-06-27,60
Lager 2,Artikel 3,2019-07-12,5
Lager 2,Artikel 3,2019-07-08,5
Lager 2,Artikel 3,2019-06-19,20
Lager 2,Artikel 3,2019-06-27,10
Lager 2,Artikel 3,2019-06-24,4
Lager 2,Artikel 3,2019-06-13,10
Lager 2,Artikel 3,2019-06-25,6
Lager 2,Artikel 3,2019-06-28,1
Lager 2,Artikel 3,2018-07-30,10
Lager 2,Artikel 3,2018-07-31,10
Lager 2,Artikel 3,2018-07-04,5
Lager 2,Artikel 3,2019-06-03,2
Lager 2,Artikel 3,2018-07-03,30
Lager 2,Artikel 3,2018-07-05,10
Lager 2,Artikel 3,2018-07-02,2
Lager 2,Artikel 3,2018-07-06,3
Lager 2,Artikel 3,2018-07-04,30
Lager 2,Artikel 3,2018-07-03,4
Lager 2,Artikel 3,2018-07-02,20
Lager 2,Artikel 3,2018-07-04,10
Lager 2,Artikel 3,2018-07-10,20
Lager 2,Artikel 3,2018-07-09,30
Lager 2,Artikel 3,2018-07-18,30
Lager 2,Artikel 3,2018-06-12,30
Lager 2,Artikel 3,2018-07-17,20
Lager 2,Artikel 3,2018-06-07,4
Lager 2,Artikel 3,2019-07-10,14
Lager 2,Artikel 3,2018-07-04,20
Lager 2,Artikel 3,2019-07-09,6
Lager 2,Artikel 3,2019-02-25,6
Lager 2,Artikel 3,2019-07-09,2
Lager 2,Artikel 3,2019-07-10,20
Lager 2,Artikel 3,2018-07-11,4
Lager 2,Artikel 3,2018-07-03,10
Lager 2,Artikel 3,2018-07-16,10
Lager 2,Artikel 3,2018-06-11,10
Lager 2,Artikel 3,2019-06-26,20
Lager 2,Artikel 3,2019-06-26,2
Lager 2,Artikel 3,2018-06-11,20
Lager 2,Artikel 3,2018-06-11,2
Lager 2,Artikel 3,2018-06-14,4
Lager 2,Artikel 3,2019-10-01,5
Lager 2,Artikel 3,2019-02-07,4
Lager 2,Artikel 3,2019-02-27,5
Lager 2,Artikel 3,2019-02-20,5
Lager 2,Artikel 3,2019-10-03,5
Lager 2,Artikel 3,2019-10-01,10
Lager 2,Artikel 3,2019-02-28,5
Lager 2,Artikel 3,2019-03-01,2
