warehouse_id,article_id,n_steps,from,to
Lager 2,Artikel 3,1,2017-08-01,2020-08-31
Lager 1,Artikel 3,1,2017-08-01,2020-08-31
Lager 1,Artikel 10,2,2017-08-01,2020-08-31
Lager 6,Artikel 3,1,2017-08-01,2020-08-31
Lager 11,Artikel 3,1,2017-08-01,2020-08-31
Lager 12,Artikel 3,1,2017-08-01,2020-08-31
Lager 3,Artikel 3,1,2017-08-01,2020-08-31
Lager 4,Artikel 3,1,2017-08-01,2020-08-31
Lager 3,Artikel 10,2,2017-08-01,2020-08-31
Lager 1,Artikel 9,2,2017-08-01,2020-08-31
Lager 1,Artikel 5,1,2017-08-01,2020-08-31
Lager 1,Artikel 2,2,2019-01-01,2020-08-31
Lager 2,Artikel 2,1,2019-01-01,2020-08-31
Lager 3,Artikel 9,2,2017-08-01,2020-08-31
Lager 5,Artikel 3,1,2017-08-01,2020-08-31
Lager 1,Artikel 7,2,2017-08-01,2020-08-31
Lager 3,Artikel 2,1,2019-01-01,2020-08-31
Lager 3,Artikel 4,2,2017-08-01,2020-08-31
Lager 6,Artikel 10,2,2017-08-01,2020-08-31
Lager 3,Artikel 5,1,2017-08-01,2020-08-31
Lager 6,Artikel 9,1,2017-08-01,2020-08-31
Lager 11,Artikel 10,3,2017-08-01,2020-08-31
Lager 2,Artikel 5,1,2017-08-01,2020-08-31
Lager 6,Artikel 5,1,2017-08-01,2020-08-31
Lager 12,Artikel 10,2,2017-08-01,2020-08-31
Lager 12,Artikel 9,2,2017-08-01,2020-08-31
Lager 12,Artikel 2,1,2019-01-01,2020-08-31
Lager 11,Artikel 2,1,2019-01-01,2020-08-31
Lager 1,Artikel 8,1,2017-08-01,2020-08-31
Lager 9,Artikel 3,2,2017-08-01,2020-08-31
Lager 4,Artikel 4,3,2017-08-01,2020-08-31
Lager 4,Artikel 5,1,2017-08-01,2020-08-31
Lager 6,Artikel 2,1,2019-01-01,2020-08-31
Lager 13,Artikel 4,2,2017-08-01,2020-08-31
Lager 1,Artikel 6,1,2017-08-01,2020-08-31
Lager 9,Artikel 4,2,2017-08-01,2020-08-31
Lager 3,Artikel 6,2,2017-08-01,2020-08-31
Lager 2,Artikel 9,2,2017-08-01,2020-08-31
Lager 10,Artikel 3,2,2017-08-01,2020-08-31
Lager 4,Artikel 2,1,2019-01-01,2020-08-31
Lager 1,Artikel 1,2,2017-08-01,2020-08-31
Lager 5,Artikel 2,1,2019-01-01,2020-08-31
Lager 13,Artikel 3,2,2017-08-01,2020-08-31
Lager 6,Artikel 7,2,2017-08-01,2020-08-31
Lager 4,Artikel 11,2,2017-08-01,2020-08-31
Lager 8,Artikel 3,2,2017-08-01,2020-08-31
Lager 3,Artikel 7,2,2017-08-01,2020-08-31
Lager 11,Artikel 5,1,2017-08-01,2020-08-31
Lager 3,Artikel 11,2,2017-08-01,2020-08-31
Lager 5,Artikel 5,1,2017-08-01,2020-08-31
Lager 2,Artikel 14,2,2018-09-01,2020-08-31
Lager 11,Artikel 14,1,2018-09-01,2020-08-31
Lager 4,Artikel 7,2,2017-08-01,2020-08-31
Lager 2,Artikel 10,2,2017-08-01,2020-08-31
Lager 11,Artikel 9,2,2017-08-01,2020-08-31
Lager 12,Artikel 5,1,2017-08-01,2020-08-31
Lager 12,Artikel 14,1,2018-09-01,2020-08-31
Lager 4,Artikel 6,2,2017-08-01,2020-08-31
Lager 3,Artikel 1,2,2017-08-01,2020-08-31
Lager 1,Artikel 11,2,2017-08-01,2020-08-31
Lager 4,Artikel 14,1,2018-09-01,2020-08-31
Lager 1,Artikel 15,1,2017-08-01,2020-08-31
Lager 14,Artikel 1,1,2017-08-01,2020-08-31
Lager 14,Artikel 2,1,2017-08-01,2020-08-31
Lager 14,Artikel 3,2,2017-08-01,2020-08-31
Lager 14,Artikel 4,1,2017-08-01,2020-08-31
Lager 14,Artikel 5,1,2017-08-01,2020-08-31
Lager 14,Artikel 6,1,2017-08-01,2020-08-31
Lager 14,Artikel 7,1,2017-08-01,2020-08-31
Lager 14,Artikel 8,1,2017-08-01,2020-08-31
Lager 14,Artikel 9,2,2017-08-01,2020-08-31
Lager 14,Artikel 10,2,2017-08-01,2020-08-31
Lager 14,Artikel 11,1,2017-08-01,2020-08-31
Lager 14,Artikel 12,2,2019-01-01,2020-08-31
Lager 14,Artikel 13,1,2019-01-01,2020-08-31
Lager 14,Artikel 14,2,2017-08-01,2020-08-31
Lager 14,Artikel 15,1,2017-08-01,2020-08-31
Lager 14,Artikel 16,2,2017-08-01,2020-08-31
Lager 14,Artikel 17,1,2019-01-01,2020-08-31
Lager 14,Artikel 18,2,2017-08-01,2020-08-31
Lager 14,Artikel 19,2,2017-08-01,2020-08-31
Lager 14,Artikel 20,1,2017-08-01,2020-08-31
Lager 14,Artikel 21,1,2017-08-01,2020-08-31
Lager 14,Artikel 22,3,2017-08-01,2020-08-31
Lager 14,Artikel 23,1,2017-08-01,2020-08-31
Lager 14,Artikel 24,1,2017-08-01,2020-08-31
Lager 14,Artikel 25,2,2017-08-01,2020-08-31
Lager 14,Artikel 26,2,2017-08-01,2020-08-31
Lager 14,Artikel 27,1,2019-01-01,2020-08-31
Lager 14,Artikel 28,1,2019-01-01,2020-08-31
Lager 14,Artikel 29,1,2017-08-01,2020-08-31
Lager 14,Artikel 30,2,2017-08-01,2020-08-31
Lager 14,Artikel 31,3,2017-08-01,2020-08-31
Lager 14,Artikel 32,1,2017-08-01,2020-08-31
Lager 14,Artikel 33,1,2019-01-01,2020-08-31
Lager 14,Artikel 34,2,2017-08-01,2020-08-31
Lager 14,Artikel 35,1,2017-08-01,2020-08-31
Lager 14,Artikel 36,2,2017-08-01,2020-08-31
Lager 14,Artikel 37,2,2017-08-01,2020-08-31
Lager 14,Artikel 38,2,2017-08-01,2020-08-31
Lager 14,Artikel 39,2,2017-08-01,2020-08-31
Lager 14,Artikel 40,1,2019-01-01,2020-08-31
Lager 14,Artikel 41,2,2017-08-01,2020-08-31
