warehouse_id,article_id,date_time,quantity
Lager 2,Artikel 3,2019-10-28,6.0
Lager 2,Artikel 3,2018-07-24,10.0
Lager 2,Artikel 3,2019-07-04,5.0
Lager 2,Artikel 3,2019-07-01,30.0
Lager 2,Artikel 3,2019-07-03,10.0
Lager 2,Artikel 3,2018-06-15,4.0
Lager 2,Artikel 3,2019-10-30,4.0
Lager 2,Artikel 3,2018-07-19,8.0
Lager 2,Artikel 3,2019-10-29,30.0
Lager 2,Artikel 3,2019-07-03,2.0
Lager 2,Artikel 3,2019-07-02,10.0
Lager 2,Artikel 3,2019-05-29,20.0
Lager 2,Artikel 3,2019-06-24,10.0
Lager 2,Artikel 3,2018-06-11,1.0
Lager 2,Artikel 3,2019-07-03,30.0
Lager 2,Artikel 3,2018-06-14,6.0
Lager 2,Artikel 3,2019-07-01,90.0
Lager 2,Artikel 3,2018-07-06,7.0
Lager 2,Artikel 3,2019-07-04,10.0
Lager 2,Artikel 3,2019-07-02,3.0
Lager 2,Artikel 3,2019-07-08,20.0
Lager 2,Artikel 3,2018-07-11,3.0
Lager 2,Artikel 3,2018-07-10,5.0
Lager 2,Artikel 3,2019-07-04,5.0
Lager 2,Artikel 3,2019-07-05,10.0
Lager 2,Artikel 3,2019-02-26,2.0
Lager 2,Artikel 3,2019-02-28,5.0
Lager 2,Artikel 3,2018-07-16,3.0
Lager 2,Artikel 3,2019-07-11,10.0
Lager 2,Artikel 3,2018-07-17,20.0
Lager 2,Artikel 3,2019-10-31,20.0
Lager 2,Artikel 3,2019-10-28,20.0
Lager 2,Artikel 3,2019-07-04,2.0
Lager 2,Artikel 3,2019-06-03,30.0
Lager 2,Artikel 3,2019-06-05,2.0
Lager 2,Artikel 3,2019-06-03,10.0
Lager 2,Artikel 3,2019-06-03,10.0
Lager 2,Artikel 3,2019-06-04,2.0
Lager 2,Artikel 3,2018-07-30,10.0
Lager 2,Artikel 3,2018-07-18,20.0
Lager 2,Artikel 3,2019-06-04,5.0
Lager 2,Artikel 3,2019-06-07,6.0
Lager 2,Artikel 3,2019-05-29,10.0
Lager 2,Artikel 3,2018-07-26,10.0
Lager 2,Artikel 3,2018-07-31,20.0
Lager 2,Artikel 3,2018-06-07,3.0
Lager 2,Artikel 3,2018-07-16,10.0
Lager 2,Artikel 3,2018-06-07,20.0
Lager 2,Artikel 3,2018-07-31,10.0
Lager 2,Artikel 3,2019-07-03,6.0
Lager 2,Artikel 3,2019-07-04,5.0
Lager 2,Artikel 3,2019-07-11,20.0
Lager 2,Artikel 3,2019-07-09,5.0
Lager 2,Artikel 3,2019-07-08,20.0
Lager 2,Artikel 3,2019-07-10,5.0
Lager 2,Artikel 3,2019-02-25,3.0
Lager 2,Artikel 3,2019-02-25,2.0
Lager 2,Artikel 3,2019-07-10,10.0
Lager 2,Artikel 3,2019-07-12,3.0
Lager 2,Artikel 3,2019-07-12,5.0
Lager 2,Artikel 3,2019-06-27,60.0
Lager 2,Artikel 3,2019-07-12,5.0
Lager 2,Artikel 3,2019-07-08,5.0
Lager 2,Artikel 3,2019-06-19,20.0
Lager 2,Artikel 3,2019-06-27,10.0
Lager 2,Artikel 3,2019-06-24,4.0
Lager 2,Artikel 3,2019-06-13,10.0
Lager 2,Artikel 3,2019-06-25,6.0
Lager 2,Artikel 3,2019-06-28,1.0
Lager 2,Artikel 3,2018-07-30,10.0
Lager 2,Artikel 3,2018-07-31,10.0
Lager 2,Artikel 3,2018-07-04,5.0
Lager 2,Artikel 3,2019-06-03,2.0
Lager 2,Artikel 3,2018-07-03,30.0
Lager 2,Artikel 3,2018-07-05,10.0
Lager 2,Artikel 3,2018-07-02,2.0
Lager 2,Artikel 3,2018-07-06,3.0
Lager 2,Artikel 3,2018-07-04,30.0
Lager 2,Artikel 3,2018-07-03,4.0
Lager 2,Artikel 3,2018-07-02,20.0
Lager 2,Artikel 3,2018-07-04,10.0
Lager 2,Artikel 3,2018-07-10,20.0
